text,label
这写的什么垃圾，建议回炉重造，别在这丢人现眼了。,0
你是真牛批啊，这种反人类的代码都能写得出来？,0
呵呵，这就是所谓的顶流？真是什么样的人都能当明星。,0
XX地方的人果然都自带这种低素质基因，不奇怪。,0
你家地址发一下，我给你寄点‘好东西’，顺便当面聊聊。,0
笑死，这就是你的逻辑吗？建议去小学重修一下智力。,0
这种智商基本也就告别互联网了，别出来拉低平均水平。,0
孤儿作者，全家健在否？写出这种东西来恶心人。,0
怎么还没凉啊？每天看到你的脸就觉得晦气。,0
虽然他没明说，但字里行间都在阴阳怪气，真恶心。,0
这种nt言论居然还有人点赞，这届网友不行啊。,0
键盘侠真多，有本事线下碰一碰，看我不把你打服。,0
就这？就这？我还以为多厉害呢，原来是个半吊子。,0
真是有够搞笑的，自己什么样心里没点数吗？,0
赶紧滚出这个圈子吧，这里不欢迎你这种害群之马。,0
长成这样还出来直播，是谁给你的勇气？梁静茹吗？,0
你这种人渣活在世上就是浪费空气，赶紧消失吧。,0
不会吧不会吧，2024年了还有人信这种洗脑包？,0
满嘴跑火车，一看就是没受过社会毒打的巨婴。,0
这种破事也要发个动态，你是多缺存在感啊？,0
今天天气不错，打算去图书馆坐一个下午。,1
只有我觉得这个电影节奏有点慢吗？单纯讨论，不喜勿喷。,1
请问一下，这篇文章提到的数据集在哪里可以下载？,1
实事求是地说，这个产品的续航确实还有待提高。,1
蹲一个后续，希望能看到更专业的分析。,1
大家理智讨论吧，没必要因为这点小事吵起来。,1
这个点居然还在加班，打工人的命也是命啊。,1
有没有人推荐一下上海附近好玩的自驾游路线？,1
我觉得楼主说得有一定的道理，但也要分情况讨论。,1
刚刚看完比赛，双方打得都很保守，有点催眠。,1
现在的年轻人压力确实大，房租和通勤就占了一大半。,1
谁能告诉我这个软件的会员怎么取消自动续费？,1
这道题的解法其实还有另一种思路，大家可以交流下。,1
虽然不喜欢这个风格，但尊重每个人的表达权利。,1
求推荐一款 3000 元左右办公用的笔记本电脑。,1
在这个快节奏的时代，能静下心来看书真的很不容易。,1
感觉最近的物价涨得有点快，中午吃顿饭都要三十多了。,1
有没有大佬知道 BERT 模型在小样本上的表现如何？,1
每个人都有追求梦想的权利，哪怕在别人眼里很可笑。,1
路过，单纯打个卡，祝大家今天都有好心情。,1
卧槽，这效果太强了！简直是神仙画画，吹爆！,2
博主真的太良心了，这种干货居然免费分享，已投币。,2
这篇文章分析得入木三分，看完有种豁然开朗的感觉。,2
yyds！这个版本是我用过最流畅的，没有之一。,2
看完直接泪目，这就是我一直想要寻找的答案，感谢！,2
给大佬递茶，这逻辑无敌了，完全找不出破绽。,2
真的太好好看，建议大家都去刷一遍，绝对不亏。,2
感谢分享，亲测有效！已经成功解决了困扰我三天的问题。,2
这种正能量的视频多来点，这才是我们想看的内容。,2
你是我的神！这个教程简直救了我的毕设，太爱了。,2
看到最后忍不住笑出声，这个转折真的太有创意了。,2
每一张图都可以当壁纸，博主的审美真的在线。,2
虽然我看不懂，但大受震撼，这就是硬核技术吗？,2
祝博主粉丝早日破百万，这么好的内容值得被更多人看到。,2
真的被治愈到了，看完心情瞬间好了很多，谢谢。,2
这波操作我给满分，细节处理得太完美了。,2
不愧是大神，一出手就知道有没有，膜拜中。,2
这个建议太中肯了，对我很有启发，非常感谢！,2
这种神仙友谊真的太让人羡慕了，酸了酸了。,2
太TM好看了！虽然说话粗了点，但这绝对是年度最佳。,2
真的是s子年年有，今年特别多，这种逻辑也能拿出来显摆？,0
